scoreline,first_set,is_straight_sets,num_sets,set1_score,set2_score,set3_score,observed_all_time,observed_2024,count_all_time,count_atp_all_time,count_wta_all_time,count_2024,count_atp_2024,count_wta_2024
6-0 6-0,6-0,TRUE,2,6-0,6-0,NA,TRUE,TRUE,2124,327,1797,10,0,10
6-1 6-0,6-1,TRUE,2,6-1,6-0,NA,TRUE,TRUE,3035,711,2324,28,11,17
6-2 6-0,6-2,TRUE,2,6-2,6-0,NA,TRUE,TRUE,3100,916,2184,33,8,25
6-3 6-0,6-3,TRUE,2,6-3,6-0,NA,TRUE,TRUE,2978,1021,1957,38,13,25
6-4 6-0,6-4,TRUE,2,6-4,6-0,NA,TRUE,TRUE,2381,890,1491,33,7,26
7-5 6-0,7-5,TRUE,2,7-5,6-0,NA,TRUE,TRUE,950,339,611,13,4,9
7-6 6-0,7-6,TRUE,2,7-6,6-0,NA,TRUE,TRUE,918,423,495,7,4,3
6-0 6-1,6-0,TRUE,2,6-0,6-1,NA,TRUE,TRUE,2928,696,2232,23,4,19
6-1 6-1,6-1,TRUE,2,6-1,6-1,NA,TRUE,TRUE,5293,1617,3676,59,16,43
6-2 6-1,6-2,TRUE,2,6-2,6-1,NA,TRUE,TRUE,6285,2159,4126,89,23,66
6-3 6-1,6-3,TRUE,2,6-3,6-1,NA,TRUE,TRUE,6171,2459,3712,80,29,51
6-4 6-1,6-4,TRUE,2,6-4,6-1,NA,TRUE,TRUE,5197,2162,3035,75,30,45
7-5 6-1,7-5,TRUE,2,7-5,6-1,NA,TRUE,TRUE,2567,1126,1441,44,21,23
7-6 6-1,7-6,TRUE,2,7-6,6-1,NA,TRUE,TRUE,2625,1427,1198,46,22,24
6-0 6-2,6-0,TRUE,2,6-0,6-2,NA,TRUE,TRUE,2658,779,1879,20,7,13
6-1 6-2,6-1,TRUE,2,6-1,6-2,NA,TRUE,TRUE,6404,2392,4012,76,28,48
6-2 6-2,6-2,TRUE,2,6-2,6-2,NA,TRUE,TRUE,8261,3486,4775,107,38,69
6-3 6-2,6-3,TRUE,2,6-3,6-2,NA,TRUE,TRUE,9362,4458,4904,146,66,80
6-4 6-2,6-4,TRUE,2,6-4,6-2,NA,TRUE,TRUE,8564,4317,4247,131,65,66
7-5 6-2,7-5,TRUE,2,7-5,6-2,NA,TRUE,TRUE,3407,1610,1797,47,22,25
7-6 6-2,7-6,TRUE,2,7-6,6-2,NA,TRUE,TRUE,3763,2205,1558,80,48,32
6-0 6-3,6-0,TRUE,2,6-0,6-3,NA,TRUE,TRUE,2192,749,1443,23,6,17
6-1 6-3,6-1,TRUE,2,6-1,6-3,NA,TRUE,TRUE,5303,2047,3256,57,20,37
6-2 6-3,6-2,TRUE,2,6-2,6-3,NA,TRUE,TRUE,7502,3185,4317,101,34,67
6-3 6-3,6-3,TRUE,2,6-3,6-3,NA,TRUE,TRUE,8478,4133,4345,120,49,71
6-4 6-3,6-4,TRUE,2,6-4,6-3,NA,TRUE,TRUE,7865,4040,3825,131,63,68
7-5 6-3,7-5,TRUE,2,7-5,6-3,NA,TRUE,TRUE,3939,1981,1958,74,36,38
7-6 6-3,7-6,TRUE,2,7-6,6-3,NA,TRUE,TRUE,4697,3032,1665,106,69,37
6-0 6-4,6-0,TRUE,2,6-0,6-4,NA,TRUE,TRUE,1667,613,1054,20,7,13
6-1 6-4,6-1,TRUE,2,6-1,6-4,NA,TRUE,TRUE,5122,2357,2765,96,47,49
6-2 6-4,6-2,TRUE,2,6-2,6-4,NA,TRUE,TRUE,7173,3578,3595,122,58,64
6-3 6-4,6-3,TRUE,2,6-3,6-4,NA,TRUE,TRUE,10078,5863,4215,184,102,82
6-4 6-4,6-4,TRUE,2,6-4,6-4,NA,TRUE,TRUE,9904,5933,3971,191,123,68
7-5 6-4,7-5,TRUE,2,7-5,6-4,NA,TRUE,TRUE,3559,1848,1711,68,35,33
7-6 6-4,7-6,TRUE,2,7-6,6-4,NA,TRUE,TRUE,4588,3080,1508,111,79,32
6-0 7-5,6-0,TRUE,2,6-0,7-5,NA,TRUE,TRUE,617,184,433,10,2,8
6-1 7-5,6-1,TRUE,2,6-1,7-5,NA,TRUE,TRUE,1820,754,1066,23,11,12
6-2 7-5,6-2,TRUE,2,6-2,7-5,NA,TRUE,TRUE,2775,1262,1513,48,23,25
6-3 7-5,6-3,TRUE,2,6-3,7-5,NA,TRUE,TRUE,3545,1823,1722,58,26,32
6-4 7-5,6-4,TRUE,2,6-4,7-5,NA,TRUE,TRUE,3453,1803,1650,75,48,27
7-5 7-5,7-5,TRUE,2,7-5,7-5,NA,TRUE,TRUE,1442,718,724,27,13,14
7-6 7-5,7-6,TRUE,2,7-6,7-5,NA,TRUE,TRUE,1864,1175,689,38,22,16
6-0 7-6,6-0,TRUE,2,6-0,7-6,NA,TRUE,TRUE,548,232,316,7,2,5
6-1 7-6,6-1,TRUE,2,6-1,7-6,NA,TRUE,TRUE,1854,977,877,43,21,22
6-2 7-6,6-2,TRUE,2,6-2,7-6,NA,TRUE,TRUE,2765,1573,1192,46,30,16
6-3 7-6,6-3,TRUE,2,6-3,7-6,NA,TRUE,TRUE,4075,2630,1445,93,59,34
6-4 7-6,6-4,TRUE,2,6-4,7-6,NA,TRUE,TRUE,4181,2742,1439,99,62,37
7-5 7-6,7-5,TRUE,2,7-5,7-6,NA,TRUE,TRUE,1580,978,602,38,26,12
7-6 7-6,7-6,TRUE,2,7-6,7-6,NA,TRUE,TRUE,2879,2165,714,79,64,15
0-6 6-0 6-0,0-6,FALSE,3,0-6,6-0,6-0,TRUE,FALSE,3,0,3,0,0,0
1-6 6-0 6-0,1-6,FALSE,3,1-6,6-0,6-0,TRUE,FALSE,6,1,5,0,0,0
2-6 6-0 6-0,2-6,FALSE,3,2-6,6-0,6-0,TRUE,FALSE,13,4,9,0,0,0
3-6 6-0 6-0,3-6,FALSE,3,3-6,6-0,6-0,TRUE,FALSE,28,10,18,0,0,0
4-6 6-0 6-0,4-6,FALSE,3,4-6,6-0,6-0,TRUE,TRUE,36,8,28,1,0,1
5-7 6-0 6-0,5-7,FALSE,3,5-7,6-0,6-0,TRUE,FALSE,17,7,10,0,0,0
6-7 6-0 6-0,6-7,FALSE,3,6-7,6-0,6-0,TRUE,FALSE,26,11,15,0,0,0
0-6 6-1 6-0,0-6,FALSE,3,0-6,6-1,6-0,TRUE,FALSE,9,1,8,0,0,0
1-6 6-1 6-0,1-6,FALSE,3,1-6,6-1,6-0,TRUE,FALSE,22,5,17,0,0,0
2-6 6-1 6-0,2-6,FALSE,3,2-6,6-1,6-0,TRUE,FALSE,46,14,32,0,0,0
3-6 6-1 6-0,3-6,FALSE,3,3-6,6-1,6-0,TRUE,TRUE,62,22,40,1,0,1
4-6 6-1 6-0,4-6,FALSE,3,4-6,6-1,6-0,TRUE,FALSE,92,29,63,0,0,0
5-7 6-1 6-0,5-7,FALSE,3,5-7,6-1,6-0,TRUE,TRUE,45,13,32,1,0,1
6-7 6-1 6-0,6-7,FALSE,3,6-7,6-1,6-0,TRUE,TRUE,33,17,16,2,2,0
0-6 6-2 6-0,0-6,FALSE,3,0-6,6-2,6-0,TRUE,FALSE,11,0,11,0,0,0
1-6 6-2 6-0,1-6,FALSE,3,1-6,6-2,6-0,TRUE,FALSE,45,20,25,0,0,0
2-6 6-2 6-0,2-6,FALSE,3,2-6,6-2,6-0,TRUE,FALSE,62,20,42,0,0,0
3-6 6-2 6-0,3-6,FALSE,3,3-6,6-2,6-0,TRUE,TRUE,92,25,67,3,0,3
4-6 6-2 6-0,4-6,FALSE,3,4-6,6-2,6-0,TRUE,TRUE,115,35,80,2,2,0
5-7 6-2 6-0,5-7,FALSE,3,5-7,6-2,6-0,TRUE,TRUE,42,14,28,1,0,1
6-7 6-2 6-0,6-7,FALSE,3,6-7,6-2,6-0,TRUE,FALSE,68,33,35,0,0,0
0-6 6-3 6-0,0-6,FALSE,3,0-6,6-3,6-0,TRUE,FALSE,4,1,3,0,0,0
1-6 6-3 6-0,1-6,FALSE,3,1-6,6-3,6-0,TRUE,FALSE,34,20,14,0,0,0
2-6 6-3 6-0,2-6,FALSE,3,2-6,6-3,6-0,TRUE,TRUE,79,19,60,3,1,2
3-6 6-3 6-0,3-6,FALSE,3,3-6,6-3,6-0,TRUE,FALSE,133,67,66,0,0,0
4-6 6-3 6-0,4-6,FALSE,3,4-6,6-3,6-0,TRUE,TRUE,175,73,102,3,2,1
5-7 6-3 6-0,5-7,FALSE,3,5-7,6-3,6-0,TRUE,TRUE,66,28,38,4,2,2
6-7 6-3 6-0,6-7,FALSE,3,6-7,6-3,6-0,TRUE,TRUE,83,40,43,2,1,1
0-6 6-4 6-0,0-6,FALSE,3,0-6,6-4,6-0,TRUE,FALSE,10,4,6,0,0,0
1-6 6-4 6-0,1-6,FALSE,3,1-6,6-4,6-0,TRUE,TRUE,44,15,29,2,1,1
2-6 6-4 6-0,2-6,FALSE,3,2-6,6-4,6-0,TRUE,TRUE,71,25,46,1,0,1
3-6 6-4 6-0,3-6,FALSE,3,3-6,6-4,6-0,TRUE,TRUE,140,71,69,2,0,2
4-6 6-4 6-0,4-6,FALSE,3,4-6,6-4,6-0,TRUE,TRUE,137,64,73,2,0,2
5-7 6-4 6-0,5-7,FALSE,3,5-7,6-4,6-0,TRUE,TRUE,59,19,40,1,0,1
6-7 6-4 6-0,6-7,FALSE,3,6-7,6-4,6-0,TRUE,FALSE,81,52,29,0,0,0
0-6 7-5 6-0,0-6,FALSE,3,0-6,7-5,6-0,TRUE,FALSE,6,2,4,0,0,0
1-6 7-5 6-0,1-6,FALSE,3,1-6,7-5,6-0,TRUE,FALSE,17,7,10,0,0,0
2-6 7-5 6-0,2-6,FALSE,3,2-6,7-5,6-0,TRUE,TRUE,38,18,20,1,0,1
3-6 7-5 6-0,3-6,FALSE,3,3-6,7-5,6-0,TRUE,TRUE,60,20,40,1,0,1
4-6 7-5 6-0,4-6,FALSE,3,4-6,7-5,6-0,TRUE,TRUE,67,29,38,1,1,0
5-7 7-5 6-0,5-7,FALSE,3,5-7,7-5,6-0,TRUE,FALSE,31,14,17,0,0,0
6-7 7-5 6-0,6-7,FALSE,3,6-7,7-5,6-0,TRUE,FALSE,37,24,13,0,0,0
0-6 7-6 6-0,0-6,FALSE,3,0-6,7-6,6-0,TRUE,FALSE,1,0,1,0,0,0
1-6 7-6 6-0,1-6,FALSE,3,1-6,7-6,6-0,TRUE,FALSE,22,11,11,0,0,0
2-6 7-6 6-0,2-6,FALSE,3,2-6,7-6,6-0,TRUE,FALSE,44,23,21,0,0,0
3-6 7-6 6-0,3-6,FALSE,3,3-6,7-6,6-0,TRUE,FALSE,66,32,34,0,0,0
4-6 7-6 6-0,4-6,FALSE,3,4-6,7-6,6-0,TRUE,TRUE,86,50,36,1,0,1
5-7 7-6 6-0,5-7,FALSE,3,5-7,7-6,6-0,TRUE,FALSE,30,13,17,0,0,0
6-7 7-6 6-0,6-7,FALSE,3,6-7,7-6,6-0,TRUE,TRUE,51,30,21,1,1,0
0-6 6-0 6-1,0-6,FALSE,3,0-6,6-0,6-1,TRUE,FALSE,9,2,7,0,0,0
1-6 6-0 6-1,1-6,FALSE,3,1-6,6-0,6-1,TRUE,FALSE,18,7,11,0,0,0
2-6 6-0 6-1,2-6,FALSE,3,2-6,6-0,6-1,TRUE,TRUE,43,13,30,1,0,1
3-6 6-0 6-1,3-6,FALSE,3,3-6,6-0,6-1,TRUE,FALSE,71,30,41,0,0,0
4-6 6-0 6-1,4-6,FALSE,3,4-6,6-0,6-1,TRUE,TRUE,74,23,51,2,0,2
5-7 6-0 6-1,5-7,FALSE,3,5-7,6-0,6-1,TRUE,TRUE,41,13,28,1,0,1
6-7 6-0 6-1,6-7,FALSE,3,6-7,6-0,6-1,TRUE,TRUE,36,19,17,1,1,0
0-6 6-1 6-1,0-6,FALSE,3,0-6,6-1,6-1,TRUE,FALSE,12,5,7,0,0,0
1-6 6-1 6-1,1-6,FALSE,3,1-6,6-1,6-1,TRUE,FALSE,51,19,32,0,0,0
2-6 6-1 6-1,2-6,FALSE,3,2-6,6-1,6-1,TRUE,FALSE,96,27,69,0,0,0
3-6 6-1 6-1,3-6,FALSE,3,3-6,6-1,6-1,TRUE,TRUE,163,66,97,2,0,2
4-6 6-1 6-1,4-6,FALSE,3,4-6,6-1,6-1,TRUE,TRUE,172,77,95,4,3,1
5-7 6-1 6-1,5-7,FALSE,3,5-7,6-1,6-1,TRUE,TRUE,89,38,51,1,0,1
6-7 6-1 6-1,6-7,FALSE,3,6-7,6-1,6-1,TRUE,TRUE,110,56,54,1,0,1
0-6 6-2 6-1,0-6,FALSE,3,0-6,6-2,6-1,TRUE,TRUE,19,6,13,1,0,1
1-6 6-2 6-1,1-6,FALSE,3,1-6,6-2,6-1,TRUE,FALSE,70,21,49,0,0,0
2-6 6-2 6-1,2-6,FALSE,3,2-6,6-2,6-1,TRUE,TRUE,142,55,87,1,0,1
3-6 6-2 6-1,3-6,FALSE,3,3-6,6-2,6-1,TRUE,TRUE,225,93,132,3,2,1
4-6 6-2 6-1,4-6,FALSE,3,4-6,6-2,6-1,TRUE,TRUE,280,129,151,5,2,3
5-7 6-2 6-1,5-7,FALSE,3,5-7,6-2,6-1,TRUE,TRUE,122,45,77,2,0,2
6-7 6-2 6-1,6-7,FALSE,3,6-7,6-2,6-1,TRUE,TRUE,156,71,85,2,2,0
0-6 6-3 6-1,0-6,FALSE,3,0-6,6-3,6-1,TRUE,FALSE,27,7,20,0,0,0
1-6 6-3 6-1,1-6,FALSE,3,1-6,6-3,6-1,TRUE,FALSE,93,30,63,0,0,0
2-6 6-3 6-1,2-6,FALSE,3,2-6,6-3,6-1,TRUE,TRUE,160,67,93,1,0,1
3-6 6-3 6-1,3-6,FALSE,3,3-6,6-3,6-1,TRUE,TRUE,293,129,164,7,1,6
4-6 6-3 6-1,4-6,FALSE,3,4-6,6-3,6-1,TRUE,TRUE,321,142,179,4,3,1
5-7 6-3 6-1,5-7,FALSE,3,5-7,6-3,6-1,TRUE,TRUE,147,55,92,3,2,1
6-7 6-3 6-1,6-7,FALSE,3,6-7,6-3,6-1,TRUE,TRUE,179,92,87,2,0,2
0-6 6-4 6-1,0-6,FALSE,3,0-6,6-4,6-1,TRUE,FALSE,33,15,18,0,0,0
1-6 6-4 6-1,1-6,FALSE,3,1-6,6-4,6-1,TRUE,TRUE,107,39,68,5,0,5
2-6 6-4 6-1,2-6,FALSE,3,2-6,6-4,6-1,TRUE,TRUE,191,78,113,3,1,2
3-6 6-4 6-1,3-6,FALSE,3,3-6,6-4,6-1,TRUE,TRUE,304,138,166,4,0,4
4-6 6-4 6-1,4-6,FALSE,3,4-6,6-4,6-1,TRUE,TRUE,323,149,174,2,1,1
5-7 6-4 6-1,5-7,FALSE,3,5-7,6-4,6-1,TRUE,TRUE,142,74,68,3,0,3
6-7 6-4 6-1,6-7,FALSE,3,6-7,6-4,6-1,TRUE,TRUE,185,95,90,2,1,1
0-6 7-5 6-1,0-6,FALSE,3,0-6,7-5,6-1,TRUE,TRUE,19,5,14,1,0,1
1-6 7-5 6-1,1-6,FALSE,3,1-6,7-5,6-1,TRUE,FALSE,79,27,52,0,0,0
2-6 7-5 6-1,2-6,FALSE,3,2-6,7-5,6-1,TRUE,TRUE,89,30,59,2,0,2
3-6 7-5 6-1,3-6,FALSE,3,3-6,7-5,6-1,TRUE,TRUE,166,85,81,3,0,3
4-6 7-5 6-1,4-6,FALSE,3,4-6,7-5,6-1,TRUE,FALSE,203,85,118,0,0,0
5-7 7-5 6-1,5-7,FALSE,3,5-7,7-5,6-1,TRUE,TRUE,73,35,38,1,1,0
6-7 7-5 6-1,6-7,FALSE,3,6-7,7-5,6-1,TRUE,TRUE,110,55,55,1,1,0
0-6 7-6 6-1,0-6,FALSE,3,0-6,7-6,6-1,TRUE,FALSE,23,8,15,0,0,0
1-6 7-6 6-1,1-6,FALSE,3,1-6,7-6,6-1,TRUE,FALSE,45,22,23,0,0,0
2-6 7-6 6-1,2-6,FALSE,3,2-6,7-6,6-1,TRUE,FALSE,110,58,52,0,0,0
3-6 7-6 6-1,3-6,FALSE,3,3-6,7-6,6-1,TRUE,TRUE,164,80,84,2,1,1
4-6 7-6 6-1,4-6,FALSE,3,4-6,7-6,6-1,TRUE,TRUE,180,103,77,2,1,1
5-7 7-6 6-1,5-7,FALSE,3,5-7,7-6,6-1,TRUE,TRUE,77,45,32,2,1,1
6-7 7-6 6-1,6-7,FALSE,3,6-7,7-6,6-1,TRUE,TRUE,125,84,41,3,1,2
0-6 6-0 6-2,0-6,FALSE,3,0-6,6-0,6-2,TRUE,FALSE,4,3,1,0,0,0
1-6 6-0 6-2,1-6,FALSE,3,1-6,6-0,6-2,TRUE,FALSE,28,7,21,0,0,0
2-6 6-0 6-2,2-6,FALSE,3,2-6,6-0,6-2,TRUE,TRUE,46,10,36,2,0,2
3-6 6-0 6-2,3-6,FALSE,3,3-6,6-0,6-2,TRUE,FALSE,67,27,40,0,0,0
4-6 6-0 6-2,4-6,FALSE,3,4-6,6-0,6-2,TRUE,TRUE,102,37,65,4,1,3
5-7 6-0 6-2,5-7,FALSE,3,5-7,6-0,6-2,TRUE,FALSE,28,12,16,0,0,0
6-7 6-0 6-2,6-7,FALSE,3,6-7,6-0,6-2,TRUE,TRUE,66,27,39,1,0,1
0-6 6-1 6-2,0-6,FALSE,3,0-6,6-1,6-2,TRUE,FALSE,21,7,14,0,0,0
1-6 6-1 6-2,1-6,FALSE,3,1-6,6-1,6-2,TRUE,FALSE,79,35,44,0,0,0
2-6 6-1 6-2,2-6,FALSE,3,2-6,6-1,6-2,TRUE,TRUE,131,52,79,2,1,1
3-6 6-1 6-2,3-6,FALSE,3,3-6,6-1,6-2,TRUE,TRUE,262,129,133,5,0,5
4-6 6-1 6-2,4-6,FALSE,3,4-6,6-1,6-2,TRUE,TRUE,340,146,194,5,4,1
5-7 6-1 6-2,5-7,FALSE,3,5-7,6-1,6-2,TRUE,TRUE,120,48,72,2,0,2
6-7 6-1 6-2,6-7,FALSE,3,6-7,6-1,6-2,TRUE,TRUE,171,78,93,5,2,3
0-6 6-2 6-2,0-6,FALSE,3,0-6,6-2,6-2,TRUE,FALSE,33,15,18,0,0,0
1-6 6-2 6-2,1-6,FALSE,3,1-6,6-2,6-2,TRUE,TRUE,98,38,60,4,3,1
2-6 6-2 6-2,2-6,FALSE,3,2-6,6-2,6-2,TRUE,TRUE,181,63,118,4,1,3
3-6 6-2 6-2,3-6,FALSE,3,3-6,6-2,6-2,TRUE,TRUE,288,118,170,2,1,1
4-6 6-2 6-2,4-6,FALSE,3,4-6,6-2,6-2,TRUE,TRUE,355,153,202,7,2,5
5-7 6-2 6-2,5-7,FALSE,3,5-7,6-2,6-2,TRUE,TRUE,152,65,87,5,1,4
6-7 6-2 6-2,6-7,FALSE,3,6-7,6-2,6-2,TRUE,FALSE,220,125,95,0,0,0
0-6 6-3 6-2,0-6,FALSE,3,0-6,6-3,6-2,TRUE,FALSE,41,12,29,0,0,0
1-6 6-3 6-2,1-6,FALSE,3,1-6,6-3,6-2,TRUE,TRUE,190,85,105,6,3,3
2-6 6-3 6-2,2-6,FALSE,3,2-6,6-3,6-2,TRUE,TRUE,333,151,182,6,4,2
3-6 6-3 6-2,3-6,FALSE,3,3-6,6-3,6-2,TRUE,TRUE,583,336,247,8,3,5
4-6 6-3 6-2,4-6,FALSE,3,4-6,6-3,6-2,TRUE,TRUE,655,381,274,15,5,10
5-7 6-3 6-2,5-7,FALSE,3,5-7,6-3,6-2,TRUE,TRUE,210,101,109,5,2,3
6-7 6-3 6-2,6-7,FALSE,3,6-7,6-3,6-2,TRUE,TRUE,303,195,108,4,4,0
0-6 6-4 6-2,0-6,FALSE,3,0-6,6-4,6-2,TRUE,FALSE,50,28,22,0,0,0
1-6 6-4 6-2,1-6,FALSE,3,1-6,6-4,6-2,TRUE,TRUE,168,73,95,7,2,5
2-6 6-4 6-2,2-6,FALSE,3,2-6,6-4,6-2,TRUE,TRUE,289,125,164,4,1,3
3-6 6-4 6-2,3-6,FALSE,3,3-6,6-4,6-2,TRUE,TRUE,396,162,234,5,0,5
4-6 6-4 6-2,4-6,FALSE,3,4-6,6-4,6-2,TRUE,TRUE,425,201,224,13,7,6
