scoreline,total_count,atp_count,wta_count
6-4 6-4,191,123,68
6-3 6-4,184,102,82
6-3 6-2,146,66,80
6-4 6-2,131,65,66
6-4 6-3,131,63,68
6-2 6-4,122,58,64
6-3 6-3,120,49,71
7-6 6-4,111,79,32
6-2 6-2,107,38,69
7-6 6-3,106,69,37
6-2 6-3,101,34,67
6-4 7-6,99,62,37
6-1 6-4,96,47,49
6-3 7-6,93,59,34
6-2 6-1,89,23,66
6-3 6-1,80,29,51
7-6 6-2,80,48,32
7-6 7-6,79,64,15
6-1 6-2,76,28,48
6-4 6-1,75,30,45
6-4 7-5,75,48,27
7-5 6-3,74,36,38
7-5 6-4,68,35,33
6-1 6-1,59,16,43
6-3 7-5,58,26,32
6-1 6-3,57,20,37
6-2 7-5,48,23,25
7-5 6-2,47,22,25
6-2 7-6,46,30,16
7-6 6-1,46,22,24
7-5 6-1,44,21,23
6-1 7-6,43,21,22
6-3 6-0,38,13,25
7-5 7-6,38,26,12
7-6 7-5,38,22,16
6-2 6-0,33,8,25
6-4 6-0,33,7,26
6-1 6-0,28,11,17
7-5 7-5,27,13,14
3-6 6-3 6-4,24,14,10
6-0 6-1,23,4,19
6-0 6-3,23,6,17
6-1 7-5,23,11,12
6-4 3-6 6-3,23,14,9
6-0 6-2,20,7,13
6-0 6-4,20,7,13
4-6 6-3 6-4,17,15,2
6-3 3-6 6-3,17,9,8
4-6 6-4 6-3,16,10,6
4-6 6-3 6-2,15,5,10
6-7 6-3 6-4,15,10,5
7-6 4-6 6-3,15,11,4
6-4 4-6 6-4,14,10,4
3-6 6-3 6-3,13,5,8
4-6 6-3 6-3,13,3,10
4-6 6-4 6-2,13,7,6
6-4 6-7 6-3,13,11,2
7-5 6-0,13,4,9
2-6 6-4 6-4,12,5,7
6-7 6-4 7-6,12,7,5
3-6 6-4 6-3,11,6,5
3-6 6-4 6-4,11,3,8
3-6 7-6 6-4,11,7,4
4-6 6-2 6-3,11,3,8
6-3 3-6 7-6,11,6,5
6-3 4-6 6-4,11,6,5
6-4 4-6 7-6,11,6,5
6-7 7-6 6-3,11,11,0
4-6 6-3 7-6,10,8,2
6-0 6-0,10,0,10
6-0 7-5,10,2,8
6-3 3-6 7-5,10,6,4
6-4 3-6 7-6,10,5,5
6-7 6-1 6-4,10,6,4
6-7 6-4 6-4,10,6,4
4-6 7-5 6-2,9,3,6
6-4 4-6 6-3,9,4,5
6-7 6-3 7-5,9,6,3
1-6 6-3 6-4,8,4,4
3-6 6-3 6-2,8,3,5
3-6 6-4 7-6,8,2,6
4-6 6-1 7-6,8,3,5
4-6 7-6 7-6,8,6,2
5-7 6-3 6-4,8,4,4
5-7 7-6 6-3,8,6,2
6-1 4-6 6-4,8,3,5
6-3 6-7 6-3,8,7,1
6-4 1-6 6-3,8,4,4
6-4 2-6 6-4,8,3,5
6-4 3-6 6-1,8,3,5
6-4 3-6 6-2,8,4,4
6-7 6-4 6-2,8,6,2
7-5 4-6 6-3,8,4,4
7-5 6-7 6-4,8,2,6
1-6 6-4 6-2,7,2,5
3-6 6-1 6-4,7,5,2
3-6 6-3 6-1,7,1,6
3-6 6-3 7-6,7,4,3
3-6 7-5 6-4,7,5,2
3-6 7-6 7-5,7,4,3
4-6 6-2 6-2,7,2,5
4-6 6-3 7-5,7,2,5
4-6 7-5 6-3,7,4,3
4-6 7-5 6-4,7,3,4
4-6 7-6 6-3,7,3,4
4-6 7-6 6-4,7,3,4
5-7 6-4 6-4,7,4,3
6-0 7-6,7,2,5
6-1 3-6 6-3,7,4,3
6-2 4-6 6-3,7,3,4
6-3 3-6 6-1,7,6,1
6-3 3-6 6-2,7,3,4
6-3 6-7 6-1,7,3,4
6-4 1-6 6-2,7,5,2
6-4 6-7 6-1,7,4,3
6-4 6-7 6-4,7,5,2
6-7 6-2 6-4,7,5,2
6-7 7-5 6-4,7,4,3
6-7 7-6 7-6,7,7,0
7-6 2-6 6-4,7,2,5
7-6 3-6 7-5,7,1,6
7-6 6-0,7,4,3
1-6 6-3 6-2,6,3,3
1-6 7-6 6-2,6,4,2
2-6 6-3 6-2,6,4,2
2-6 6-3 7-6,6,2,4
2-6 6-4 6-3,6,1,5
3-6 6-2 6-3,6,2,4
3-6 6-3 7-5,6,4,2
3-6 7-6 7-6,6,3,3
4-6 6-2 6-4,6,0,6
4-6 7-6 6-2,6,5,1
5-7 6-4 6-3,6,2,4
6-1 4-6 6-3,6,1,5
6-2 3-6 6-3,6,1,5
6-2 3-6 6-4,6,1,5
6-2 6-7 6-3,6,5,1
6-2 6-7 7-6,6,4,2
6-3 3-6 6-4,6,2,4
6-3 4-6 6-3,6,4,2
6-3 5-7 6-3,6,0,6
6-3 5-7 6-4,6,3,3
6-3 6-7 6-4,6,3,3
6-3 6-7 7-6,6,4,2
6-4 2-6 7-6,6,4,2
6-4 3-6 6-4,6,2,4
6-4 4-6 7-5,6,3,3
6-7 6-2 6-3,6,2,4
6-7 6-2 7-6,6,4,2
6-7 6-4 6-3,6,5,1
7-6 3-6 6-3,6,4,2
7-6 3-6 6-4,6,5,1
7-6 3-6 7-6,6,5,1
7-6 6-7 6-1,6,3,3
1-6 6-4 6-1,5,0,5
2-6 6-2 6-4,5,0,5
2-6 6-3 6-4,5,2,3
3-6 6-1 6-2,5,0,5
3-6 6-4 6-2,5,0,5
3-6 7-5 6-2,5,4,1
3-6 7-5 6-3,5,2,3
3-6 7-6 6-2,5,3,2
4-6 6-1 6-2,5,4,1
4-6 6-2 6-1,5,2,3
4-6 6-4 7-6,5,2,3
5-7 6-2 6-2,5,1,4
5-7 6-2 6-3,5,3,2
5-7 6-3 6-2,5,2,3
6-2 3-6 6-1,5,1,4
6-2 3-6 6-2,5,1,4
6-2 3-6 7-6,5,3,2
6-2 4-6 7-6,5,5,0
6-3 1-6 6-3,5,1,4
6-3 2-6 7-6,5,3,2
6-3 4-6 7-6,5,3,2
6-4 1-6 6-1,5,2,3
6-4 3-6 7-5,5,4,1
6-4 4-6 6-2,5,1,4
6-4 5-7 6-1,5,2,3
6-4 5-7 6-4,5,1,4
6-4 6-7 7-6,5,4,1
6-7 6-1 6-2,5,2,3
6-7 6-3 7-6,5,4,1
6-7 7-6 6-4,5,4,1
7-5 3-6 6-3,5,2,3
7-5 3-6 7-6,5,3,2
7-5 6-7 6-2,5,2,3
7-5 6-7 7-6,5,4,1
7-6 1-6 6-4,5,2,3
7-6 4-6 6-4,5,2,3
7-6 6-7 6-4,5,4,1
1-6 6-2 6-2,4,3,1
1-6 6-3 6-3,4,1,3
1-6 6-3 7-6,4,0,4
1-6 7-5 6-4,4,1,3
2-6 6-2 6-2,4,1,3
2-6 6-2 7-6,4,2,2
2-6 6-4 6-2,4,1,3
2-6 6-4 7-6,4,2,2
3-6 6-4 6-1,4,0,4
3-6 6-4 7-5,4,1,3
3-6 7-6 6-3,4,3,1
4-6 6-0 6-2,4,1,3
4-6 6-1 6-1,4,3,1
4-6 6-3 6-1,4,3,1
4-6 6-4 6-4,4,3,1
4-6 6-4 7-5,4,1,3
4-6 7-5 7-6,4,2,2
5-7 6-3 6-0,4,2,2
5-7 6-4 7-5,4,3,1
6-1 6-7 6-3,4,1,3
6-1 6-7 6-4,4,1,3
6-1 6-7 7-5,4,2,2
6-2 2-6 6-1,4,0,4
6-2 2-6 6-3,4,3,1
6-2 4-6 6-4,4,2,2
6-2 4-6 7-5,4,1,3
6-3 4-6 6-1,4,3,1
6-3 4-6 6-2,4,1,3
6-4 2-6 6-1,4,1,3
6-4 2-6 6-2,4,1,3
6-4 5-7 6-3,4,3,1
6-7 6-3 6-2,4,4,0
6-7 6-3 6-3,4,1,3
6-7 7-5 6-3,4,2,2
6-7 7-5 7-6,4,3,1
6-7 7-6 6-2,4,3,1
7-5 4-6 7-6,4,1,3
7-5 6-7 6-3,4,1,3
7-6 3-6 6-1,4,3,1
7-6 4-6 7-5,4,2,2
7-6 4-6 7-6,4,3,1
1-6 6-4 6-3,3,0,3
1-6 7-6 6-4,3,2,1
1-6 7-6 7-5,3,0,3
2-6 6-1 6-4,3,2,1
2-6 6-1 7-6,3,1,2
2-6 6-2 6-3,3,2,1
2-6 6-3 6-0,3,1,2
2-6 6-3 6-3,3,1,2
2-6 6-4 6-1,3,1,2
2-6 7-5 6-3,3,1,2
2-6 7-6 6-3,3,3,0
3-6 6-2 6-0,3,0,3
3-6 6-2 6-1,3,2,1
3-6 6-2 6-4,3,3,0
3-6 7-5 6-1,3,0,3
4-6 6-1 6-4,3,2,1
4-6 6-3 6-0,3,2,1
4-6 7-5 7-5,3,1,2
4-6 7-6 7-5,3,1,2
5-7 6-3 6-1,3,2,1
5-7 6-3 6-3,3,2,1
5-7 6-4 6-1,3,0,3
5-7 6-4 6-2,3,1,2
5-7 7-6 6-2,3,1,2
5-7 7-6 7-6,3,1,2
6-0 3-6 6-4,3,0,3
6-0 6-7 6-2,3,1,2
6-1 2-6 6-2,3,0,3
6-1 3-6 6-1,3,1,2
6-1 3-6 6-4,3,0,3
6-1 4-6 6-2,3,0,3
6-1 4-6 7-5,3,0,3
6-1 5-7 6-2,3,2,1
6-1 5-7 6-4,3,2,1
6-2 2-6 6-4,3,0,3
6-2 2-6 7-5,3,2,1
6-2 3-6 7-5,3,0,3
6-2 4-6 6-2,3,2,1
6-2 5-7 6-2,3,1,2
6-2 5-7 6-3,3,2,1
6-2 6-7 6-1,3,3,0
6-2 6-7 6-2,3,2,1
6-3 1-6 6-2,3,2,1
6-3 1-6 7-5,3,2,1
6-3 2-6 6-1,3,0,3
6-3 2-6 6-3,3,1,2
6-3 2-6 6-4,3,1,2
6-3 2-6 7-5,3,2,1
6-3 5-7 6-1,3,0,3
6-3 5-7 7-6,3,2,1
6-3 6-7 6-2,3,3,0
6-3 6-7 7-5,3,2,1
6-4 1-6 7-6,3,2,1
6-4 4-6 6-0,3,1,2
6-4 4-6 6-1,3,1,2
6-4 5-7 6-2,3,3,0
6-4 5-7 7-6,3,2,1
6-4 6-7 6-2,3,1,2
6-4 6-7 7-5,3,3,0
6-7 6-4 7-5,3,2,1
6-7 7-5 6-2,3,1,2
6-7 7-6 6-1,3,1,2
7-5 2-6 6-4,3,0,3
7-6 1-6 6-1,3,2,1
7-6 2-6 6-3,3,2,1
7-6 2-6 7-6,3,3,0
7-6 3-6 6-2,3,0,3
7-6 4-6 6-1,3,2,1
7-6 4-6 6-2,3,2,1
7-6 6-7 6-3,3,2,1
7-6 6-7 7-5,3,0,3
7-6 6-7 7-6,3,3,0
0-6 6-1 6-4,2,0,2
0-6 6-3 6-4,2,0,2
0-6 6-4 6-4,2,2,0
0-6 7-5 7-6,2,0,2
0-6 7-6 6-3,2,2,0
1-6 6-1 6-3,2,0,2
1-6 6-1 6-4,2,2,0
1-6 6-1 7-5,2,1,1
1-6 6-1 7-6,2,1,1
1-6 6-2 6-3,2,1,1
1-6 6-2 7-6,2,1,1
1-6 6-3 7-5,2,2,0
1-6 6-4 6-0,2,1,1
1-6 6-4 7-6,2,0,2
1-6 7-5 6-3,2,0,2
2-6 6-0 6-2,2,0,2
2-6 6-1 6-2,2,1,1
2-6 6-1 6-3,2,1,1
2-6 6-3 7-5,2,1,1
2-6 7-5 6-1,2,0,2
2-6 7-5 6-4,2,2,0
2-6 7-6 6-2,2,1,1
2-6 7-6 6-4,2,1,1
2-6 7-6 7-5,2,1,1
3-6 6-0 6-4,2,1,1
3-6 6-1 6-1,2,0,2
3-6 6-1 6-3,2,1,1
3-6 6-1 7-6,2,2,0
3-6 6-2 6-2,2,1,1
3-6 6-2 7-5,2,2,0
3-6 6-4 6-0,2,0,2
3-6 7-5 7-5,2,0,2
3-6 7-6 6-1,2,1,1
4-6 6-0 6-1,2,0,2
4-6 6-0 6-4,2,0,2
4-6 6-1 6-3,2,1,1
4-6 6-1 7-5,2,0,2
4-6 6-2 6-0,2,2,0
4-6 6-2 7-5,2,2,0
4-6 6-4 6-0,2,0,2
4-6 6-4 6-1,2,1,1
4-6 7-6 6-1,2,1,1
5-7 6-1 6-2,2,0,2
5-7 6-2 6-1,2,0,2
5-7 6-2 6-4,2,1,1
5-7 6-2 7-6,2,1,1
5-7 6-4 7-6,2,2,0
5-7 7-5 6-4,2,0,2
5-7 7-5 7-6,2,2,0
5-7 7-6 6-1,2,1,1
5-7 7-6 6-4,2,2,0
6-0 3-6 6-1,2,0,2
6-0 3-6 6-2,2,0,2
6-0 4-6 6-2,2,0,2
6-0 4-6 6-3,2,0,2
6-0 4-6 6-4,2,1,1
6-1 2-6 6-0,2,1,1
6-1 2-6 6-1,2,0,2
6-1 3-6 7-5,2,1,1
6-1 4-6 7-6,2,2,0
6-1 5-7 7-6,2,1,1
6-1 6-7 6-1,2,1,1
6-2 1-6 6-4,2,1,1
6-2 1-6 7-5,2,0,2
6-2 3-6 6-0,2,1,1
6-2 5-7 6-4,2,1,1
6-2 6-7 6-4,2,1,1
6-3 1-6 7-6,2,2,0
6-3 2-6 6-2,2,0,2
6-3 4-6 7-5,2,0,2
6-3 5-7 6-2,2,1,1
6-3 6-7 6-0,2,1,1
6-4 0-6 6-1,2,2,0
6-4 1-6 6-4,2,1,1
6-4 2-6 6-3,2,2,0
6-7 6-0 7-5,2,0,2
6-7 6-1 6-0,2,2,0
6-7 6-2 6-1,2,2,0
6-7 6-3 6-0,2,1,1
6-7 6-3 6-1,2,0,2
6-7 6-4 6-1,2,1,1
6-7 7-5 7-5,2,1,1
7-5 2-6 6-3,2,0,2
7-5 2-6 7-6,2,2,0
7-5 3-6 6-4,2,0,2
7-5 3-6 7-5,2,0,2
7-5 4-6 6-1,2,2,0
7-6 2-6 6-1,2,2,0
7-6 2-6 7-5,2,2,0
7-6 5-7 6-3,2,2,0
7-6 5-7 6-4,2,1,1
7-6 5-7 7-6,2,2,0
7-6 6-7 6-2,2,1,1
0-6 6-1 7-5,1,0,1
0-6 6-2 6-1,1,0,1
0-6 6-2 6-3,1,0,1
0-6 6-2 6-4,1,0,1
0-6 6-4 6-3,1,0,1
0-6 6-4 7-5,1,0,1
0-6 7-5 6-1,1,0,1
0-6 7-5 6-2,1,0,1
0-6 7-5 6-4,1,0,1
0-6 7-5 7-5,1,0,1
0-6 7-6 7-5,1,1,0
1-6 6-2 6-4,1,0,1
1-6 6-4 6-4,1,0,1
1-6 6-4 7-5,1,0,1
1-6 7-5 7-6,1,0,1
1-6 7-6 6-3,1,1,0
1-6 7-6 7-6,1,1,0
2-6 6-0 6-1,1,0,1
2-6 6-0 6-3,1,0,1
2-6 6-0 7-5,1,0,1
2-6 6-2 6-1,1,0,1
2-6 6-2 7-5,1,0,1
2-6 6-3 6-1,1,0,1
2-6 6-4 6-0,1,0,1
2-6 6-4 7-5,1,0,1
2-6 7-5 6-0,1,0,1
2-6 7-5 6-2,1,0,1
2-6 7-5 7-6,1,1,0
2-6 7-6 7-6,1,0,1
3-6 6-0 7-5,1,0,1
3-6 6-1 6-0,1,0,1
3-6 6-2 7-6,1,1,0
3-6 7-5 6-0,1,0,1
3-6 7-5 7-6,1,0,1
4-6 6-0 6-0,1,0,1
4-6 6-0 6-3,1,0,1
4-6 6-0 7-5,1,1,0
4-6 6-0 7-6,1,0,1
4-6 6-2 7-6,1,0,1
4-6 7-5 6-0,1,1,0
4-6 7-6 6-0,1,0,1
5-7 6-0 6-1,1,0,1
5-7 6-0 6-3,1,0,1
5-7 6-0 6-4,1,0,1
5-7 6-1 6-0,1,0,1
5-7 6-1 6-1,1,0,1
5-7 6-1 6-3,1,1,0
5-7 6-1 7-6,1,0,1
5-7 6-2 6-0,1,0,1
5-7 6-3 7-5,1,0,1
5-7 6-3 7-6,1,1,0
5-7 6-4 6-0,1,0,1
5-7 7-5 6-1,1,1,0
5-7 7-5 6-3,1,0,1
5-7 7-6 7-5,1,0,1
6-0 1-6 6-0,1,0,1
6-0 1-6 6-1,1,0,1
6-0 1-6 6-3,1,0,1
6-0 2-6 6-3,1,0,1
6-0 3-6 7-5,1,0,1
6-0 6-7 6-1,1,1,0
6-1 0-6 6-3,1,0,1
6-1 0-6 7-5,1,0,1
6-1 1-6 6-2,1,1,0
6-1 1-6 6-4,1,0,1
6-1 1-6 7-5,1,1,0
6-1 2-6 6-3,1,0,1
6-1 2-6 6-4,1,0,1
6-1 2-6 7-6,1,1,0
6-1 3-6 6-0,1,0,1
6-1 3-6 6-2,1,1,0
6-1 3-6 7-6,1,1,0
6-1 4-6 6-0,1,0,1
6-1 5-7 6-3,1,0,1
6-1 6-7 6-2,1,1,0
6-2 0-6 6-4,1,0,1
6-2 1-6 6-0,1,0,1
6-2 1-6 6-1,1,1,0
6-2 1-6 6-3,1,1,0
6-2 2-6 6-2,1,0,1
6-2 2-6 7-6,1,0,1
6-2 4-6 6-0,1,0,1
6-2 4-6 6-1,1,0,1
6-2 5-7 6-1,1,0,1
6-2 5-7 7-6,1,0,1
6-2 6-7 7-5,1,1,0
6-3 0-6 6-1,1,0,1
6-3 0-6 6-4,1,0,1
6-3 0-6 7-5,1,0,1
6-3 1-6 6-0,1,1,0
6-3 1-6 6-4,1,0,1
6-3 3-6 6-0,1,0,1
6-3 5-7 7-5,1,0,1
6-4 0-6 7-5,1,1,0
6-4 0-6 7-6,1,0,1
6-4 2-6 7-5,1,1,0
6-4 6-7 6-0,1,0,1
6-7 6-0 6-1,1,1,0
6-7 6-0 6-2,1,0,1
6-7 6-1 6-1,1,0,1
6-7 6-1 6-3,1,1,0
6-7 7-5 6-1,1,1,0
6-7 7-6 6-0,1,1,0
6-7 7-6 7-5,1,1,0
7-5 0-6 6-1,1,0,1
7-5 0-6 6-3,1,0,1
7-5 1-6 6-3,1,1,0
7-5 1-6 6-4,1,0,1
7-5 1-6 7-5,1,0,1
7-5 2-6 6-2,1,0,1
7-5 2-6 7-5,1,0,1
7-5 3-6 6-0,1,0,1
7-5 3-6 6-2,1,0,1
7-5 4-6 6-4,1,0,1
7-5 4-6 7-5,1,1,0
7-5 5-7 6-1,1,0,1
7-5 5-7 6-2,1,0,1
7-5 5-7 7-6,1,1,0
7-5 6-7 7-5,1,1,0
7-6 0-6 6-3,1,0,1
7-6 1-6 6-3,1,0,1
7-6 1-6 7-5,1,0,1
7-6 2-6 6-2,1,1,0
7-6 3-6 6-0,1,0,1
7-6 5-7 7-5,1,1,0
